Date,Code,weigh,temperature,Humidity(out),PH,Humidity,sum,result
21,B21,0,25,75,7,8,0,fail
22,B21,0,25,75,7,6.2,0,fail
23,B21,0,25,75,7,8.2,0,fail
24,B21,90,25,75,7,8,190,good
25,B21,0,25,75,7,6.2,0,fail
26,B21,0,25,75,7.2,7,0,fail
27,B21,0,25,75,7.2,4.7,0,fail
28,B21,0,25,75,7.2,9,0,fail
29,B21,0,25,75,7.2,7.5,0,fail
1,B22,0,25,75,6.8,9.2,0,fail
2,B22,0,25,75,6.8,9.5,0,fail
3,B22,0,25,75,6.8,9,0,fail
4,B22,30,25,75,6.8,4.5,30,very bad
5,B22,0,25,75,7,5,0,fail
6,B22,0,25,75,7,6.2,0,fail
7,B22,0,25,75,7,6.5,0,fail
8,B22,0,25,75,7,8,0,fail
9,B22,0,25,75,7,7.8,0,fail
10,B22,0,25,75,7,6,0,fail
11,B22,0,25,75,7,6.7,0,fail
